№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
1,Автобус,Остановка,10 КМ,"10 КМ [145, 165, 482, 482а, 482в, 484, 484б]",Таллинское ш.,"145, 145Б, 147, 165, 245, 442, 458, 458Б, 481, 482, 482В, 484","59.773371824760758,30.1251106"
2,Автобус,Остановка,12-13 ЛИНИИ В.О. (ПО СРЕДНЕМУ ПР. В.О.),12-13 ЛИНИИ В.О. (ПО СРЕДНЕМУ ПР. В.О.) [6],"Средний пр., 12-13-я линии","249, 6","59.941120573475885,30.2717571"
3,Автобус,Остановка,16 И 17 ЛИНИИ,"16 И 17 ЛИНИИ [7, 1]","Большой пр. В.О., Большой ВО Проспект","1, 128, 151, 262, 42, 7","59.935553859802589,30.2711468"
4,Автобус,Остановка,МУЗЕЙ ГОРОДСКОГО НАЗЕМНОГО ТРАНСПОРТА,МУЗЕЙ ГОРОДСКОГО НАЗЕМНОГО ТРАНСПОРТА,"Средний пр., 18-19-я линии","249, 6","59.938797516478004,30.2641411"
5,Автобус,Остановка,"1-Я И КАДЕТСКАЯ ЛИНИЯ,УГ. СРЕДНЕГО ПР.","1-Я И КАДЕТСКАЯ ЛИНИЯ,УГ. СРЕДНЕГО ПР. [6]","1-я и Кадетская линии, Репина ул.","24, 47, 6","59.944538147929435,30.2870083"
6,Автобус,Остановка,1-Я КРАСНОАРМЕЙСКАЯ УЛ.,1-Я КРАСНОАРМЕЙСКАЯ УЛ. [71],"Ул. 1-я Красноармейская, Советский пер.","290, 71","59.915965424829771,30.3104362"
7,Автобус,Остановка,ШУШАРСКАЯ ДОРОГА,ШУШАРСКАЯ ДОРОГА,Петербургское шоссе,"187, 232, 299","59.768516359278351,30.346138"
8,Автобус,Остановка,21 КМ,21 КМ [485],,485,"59.88336543849676,30.6802368"
9,Автобус,Остановка,22-23 ЛИНИИ,22-23 ЛИНИИ [6],"Средний пр., 22-23-я линии","249, 6","59.937346806294457,30.2591171"
10,Автобус,Остановка,25 КМ,25 КМ,A-122,"435, 497, 84","60.123920899134639,30.2300968"
11,Автобус,Остановка,"СЕРТОЛОВО,УЛ. МОЛОДЦОВА","СЕРТОЛОВО,УЛ. МОЛОДЦОВА","Шоссейная улица, улица Молодцова","435, 497, 84","60.14119661278383,30.2086468"
12,Автобус,Остановка,26-27 ЛИНИИ,26-27 ЛИНИИ [7],"Большой пр. В.О., 26-27-я линии","1, 128, 262, 7","59.931447510294852,30.2571201"
13,Автобус,Остановка,29 КМ,29 КМ [435],Выборгское шоссе,"435, 497","60.155244509739241,30.1911945"
14,Автобус,Остановка,ПОЛОЦКАЯ УЛ.,ПОЛОЦКАЯ УЛ.,,"179, 254, 325, 374, 375, 375А","59.733627040660018,30.4702568"
15,Автобус,Остановка,30 КМ,"30 КМ [555, 435]",A-122,"435, 497","60.16484883657985,30.1836891"
16,Автобус,Остановка,31 КМ,31 КМ [435],"15-я линия, Ключевая улица","435, 497","60.17119580359865,30.1794739"
17,Автобус,Остановка,"3-Й ВЕРХНИЙ ПЕР.,УГ. ДОМОСТРОИТЕЛЬНОЙ УЛ.","3-Й ВЕРХНИЙ ПЕР.,УГ. ДОМОСТРОИТЕЛЬНОЙ УЛ. [113]","Домостроительная ул., 3-й Верхний пер.",113,"60.061787493376841,30.3656101"
18,Автобус,Остановка,44 КМ,44 КМ,Мурманское шоссе,"469, 469А, 475","59.907874077684617,31.0453758"
19,Автобус,Остановка,УЛ. МЕРКУРЬЕВА,УЛ. МЕРКУРЬЕВА,Пр. Энгельса,"113, 139, 248","60.071333920433986,30.3500004"
20,Автобус,Остановка,5 КМ,5 КМ,,"192, 196, 254, 325, 374","59.747532082008625,30.511097"
21,Автобус,Остановка,50 КМ,50 КМ,Мурманское ш.,"469, 469А, 475, 475А","59.890174446264545,31.1625404"
22,Автобус,Остановка,51 КМ,51 КМ,Мурманское ш.,"469, 469А, 475, 475А","59.888557133419141,31.1847038"
23,Автобус,Остановка,54 КМ - 1,54 КМ - 1,,"475, 475А","59.88860167910682,31.2297897"
24,Автобус,Остановка,56 КМ,56 КМ,"Мурманское шоссе, Песчаная улица","469, 469А, 475, 475А","59.89045541208035,31.2615852"
25,Автобус,Остановка,57 КМ,57 КМ,Мурманское шоссе,"469, 469А, 475, 475А","59.890633584293468,31.270813"
26,Автобус,Остановка,"5-Й ПРЕДПОРТОВЫЙ ПРОЕЗД,4","5-Й ПРЕДПОРТОВЫЙ ПРОЕЗД,4 [3, 11]",5-й Предпортовый проезд,"3, 62","59.838113697406207,30.3107719"
27,Автобус,Остановка,"5-Й ПРЕДПОРТОВЫЙ ПРОЕЗД,УГ. УЛ. КОСТЮШКО","5-Й ПРЕДПОРТОВЫЙ ПРОЕЗД,УГ. УЛ. КОСТЮШКО [3, 11]","Галстяна ул., 5-й Предпортовый проезд","13, 147, 150, 155, 252, 299, 3, 301, 31, 39, 62, 63, 90","59.841233052170779,30.3098869"
28,Автобус,Остановка,САД ВАЛЕТИНА ПИКУЛЯ,"САД ВАЛЕТИНА ПИКУЛЯ [70, 71]","Измайловский пр., 6-я Красноармейская ул.",71,"59.912524360775521,30.3076916"
29,Автобус,Остановка,6 КМ,6 КМ,"Колпинское шоссе, Колпинское ш.","192, 196, 324, 325, 330, 374, 396А","59.748863771262016,30.5367012"
30,Автобус,Остановка,"СОВЕТСКИЙ ПР., 43","СОВЕТСКИЙ ПР., 43",Шлиссельбургский пр.,"115, 115А, 189, 327, 328","59.829200135099711,30.5409412"
31,Автобус,Остановка,8 И 9 ЛИНИИ,"8 И 9 ЛИНИИ [7, 24, 6]","Большой пр. В.О., Большой ВО Проспект",7,"59.938571702553816,30.2813473"
32,Автобус,Остановка,8 И 9 ЛИНИЯ ПО БОЛЬШОМУ ПР.,8 И 9 ЛИНИЯ ПО БОЛЬШОМУ ПР. [1],"8-9-я линии, Большой ВО Проспект","1, 100, 128, 151, 24, 42","59.939112284837016,30.2800045"
33,Автобус,Остановка,"СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ""","СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ"" [93]","Торфяная дорога, Липовая аллея","112, 216А, 93","59.989378677157887,30.2559242"
34,Автобус,Остановка,"БЕЛООСТРОВСКАЯ УЛ., Д. 10, ПО ТРЕБОВАНИЮ","БЕЛООСТРОВСКАЯ УЛ., Д. 10, ПО ТРЕБОВАНИЮ","Ул. Белоостровская, ул. Земледельческая","137, 237, 33","59.986225382256507,30.3236599"
35,Автобус,Остановка,АВАНГАРДНАЯ УЛ.,АВАНГАРДНАЯ УЛ.,"Ветеранов пр., Авангардная ул.","103, 130, 165, 229, 242, 246, 265, 284, 297, 329, 343Э, 68, 68А","59.832945014264936,30.1835117"
36,Автобус,Остановка,"АВИАГОРОДОК, АКАДЕМИЯ","АВИАГОРОДОК, АКАДЕМИЯ","Ул. Пилотов, Вертолётная ул.","13, 13А","59.817224680505973,30.2937775"
37,Автобус,Остановка,АВИАЦИОННАЯ УЛ.,"АВИАЦИОННАЯ УЛ. [3, 50]","Московский пр., Типанова ул.","187, 226, 26, 281, 3, 39, 50","59.853783012951162,30.3216476"
38,Автобус,Остановка,АВИАЦИОННАЯ УЛ.,АВИАЦИОННАЯ УЛ.,"Таллинское ш., Авиационная ул.","145Б, 147, 165, 245","59.75231146430189,30.1051273"
39,Автобус,Остановка,АВТОБУСНОЕ ПРЕДПРИЯТИЕ,"АВТОБУСНОЕ ПРЕДПРИЯТИЕ [3, 11]","5-й Предпортовый проезд, Кубинская ул.","3, 62","59.833809949407275,30.3110142"
40,Автобус,Остановка,АВТОВОКЗАЛ,АВТОВОКЗАЛ,"Обводного канала наб., Днепропетровская ул.","74, 76","59.913777565700748,30.3578339"
41,Автобус,Остановка,АВТОВСКАЯ УЛ.,АВТОВСКАЯ УЛ.,"Краснопутиловская ул., Автовская ул.","244, 66, 72","59.869849521361971,30.2708015"
42,Автобус,Остановка,АГРОФИЗИЧЕСКИЙ ИНСТИТУТ,АГРОФИЗИЧЕСКИЙ ИНСТИТУТ,"Гражданский пр., Гжатская ул.","295, 40, 60","59.999553946758063,30.3842983"
43,Автобус,Остановка,АЛАРЧИН МОСТ,АЛАРЧИН МОСТ,"Римского-Корсакова пр., Аларчин мост","2, 22, 6, 71","59.920727542882645,30.286274"
44,Автобус,Остановка,АЛЕКСАНДРИЯ,"АЛЕКСАНДРИЯ [200, 210, 359]","Санкт-Петербургский проспект, Парковая улица","103, 162, 200, 201, 210, 278, 348, 359","59.87510160324203,29.9439621"
45,Автобус,Остановка,АЛЛЕЯ ГОМОНТОВО,АЛЛЕЯ ГОМОНТОВО,Таллинское ш.,487,"59.575606509965887,29.2819271"
46,Автобус,Остановка,АННИНСКОЕ ШОССЕ,"АННИНСКОЕ ШОССЕ [145, 165, 482, 482а, 482в, 484, 484б]","Таллинское ш., Аннинское ш.","145, 145Б, 145Э, 147, 165, 245, 442, 458, 458Б, 481, 482, 482В, 484","59.7803649297378,30.1334229"
47,Автобус,Остановка,АНТАШИ,"АНТАШИ [482, 482в, 487, 487, 487а]",Таллинское ш.,"482, 482В, 487","59.635062811310661,29.560358"
48,Автобус,Остановка,"АПРАКСИН ПЕР.,ТЕАТР ""ПРИЮТ КОМЕДИАНТА""","АПРАКСИН ПЕР.,ТЕАТР ""ПРИЮТ КОМЕДИАНТА""","Садовая ул., Апраксин пер.","181, 49","59.929531039875137,30.3246975"
49,Автобус,Остановка,АПРЕЛЬСКАЯ УЛ.,АПРЕЛЬСКАЯ УЛ. [132],"Металлистов пр., Апрельская ул.","132, 222, 28","59.964896030955707,30.4183674"
50,Автобус,Остановка,АРСЕНАЛЬНАЯ УЛ.,"АРСЕНАЛЬНАЯ УЛ. [106, 107, 133]","Комсомола ул., Арсенальная ул.","106, 107, 133, 176, 234, 28, 37","59.955537677137769,30.3709393"
51,Автобус,Остановка,Б. КОНЮШЕННАЯ УЛ.,"Б. КОНЮШЕННАЯ УЛ. [3, 27, 22, 24, 7]","Невский проспект, Большая Конюшенная улица","191, 22, 24, 27, 3, 7","59.936063696053047,30.3215523"
52,Автобус,Остановка,БОЛЬШОЙ СМОЛЕНСКИЙ ПР.,БОЛЬШОЙ СМОЛЕНСКИЙ ПР.,"Бабушкина ул., Бол. Смоленский пр.","114, 116, 264, 31, 58","59.898893558411807,30.419426"
53,Автобус,Остановка,БАЙКОНУРСКАЯ УЛ.,БАЙКОНУРСКАЯ УЛ.,"Парашютная улица, Байконурская улица","112, 134А, 135, 171, 172, 208, 235, 267, 85, 9","60.017171381185555,30.2805996"
54,Автобус,Остановка,БАЛТИЙСКИЙ ВОКЗАЛ,БАЛТИЙСКИЙ ВОКЗАЛ,"Пл. Балтийского вокзала, Митрофаньевское шоссе","205, 286, 43, 67","59.907939145048559,30.2999859"
55,Автобус,Остановка,БАССЕЙНАЯ УЛ. УГ. ПР. КОСМОНАВТОВ,БАССЕЙНАЯ УЛ. УГ. ПР. КОСМОНАВТОВ,"Бассейная ул., Космонавтов пр.","286, 63, 72","59.864586322639042,30.3466644"
56,Автобус,Остановка,"БЕГУНИЦЫ,1","БЕГУНИЦЫ,1 [487, 487, 487а]",Таллинское ш.,487,"59.586994458587675,29.3239975"
57,Автобус,Остановка,"БЕГУНИЦЫ,2","БЕГУНИЦЫ,2 [487, 487, 487а]",Таллинское ш.,487,"59.584010379580363,29.3085499"
58,Автобус,Остановка,БЕЗЫМЯННАЯ УЛ.,"БЕЗЫМЯННАЯ УЛ. [20, 145, 165, 195, 482, 482а, 482в, 484, 484б, 487, 487]",Таллиннское ш.,"108, 145, 145Б, 145Э, 165, 195, 20, 245, 345, 481, 482, 482В, 484, 487, 81","59.818999983790818,30.1792831"
59,Автобус,Остановка,БЕЛГРАДСКАЯ УЛ.,"БЕЛГРАДСКАЯ УЛ. [11, 31, 114, 116]",Славы пр.,"11, 114, 116, 141, 225, 239, 246, 31, 59","59.854667987366589,30.3710442"
60,Автобус,Остановка,БЕЛГРАДСКАЯ УЛ. 6,БЕЛГРАДСКАЯ УЛ. 6,"Белградская ул., Витебский пр.","12, 159, 95","59.872156837049452,30.35709"
61,Автобус,Остановка,БЕЛГРАДСКАЯ УЛ. УГ. УЛ. ТУРКУ,"БЕЛГРАДСКАЯ УЛ. УГ. УЛ. ТУРКУ [12, 95]","Белградская ул., Турку ул.","12, 159, 95","59.86738089343261,30.3594646"
62,Автобус,Остановка,БЕЛООСТРОВСКАЯ УЛ.,"БЕЛООСТРОВСКАЯ УЛ. [1, 33, 46А, 137]","Белоостровская ул., Торжковская ул.","137, 237, 25, 267, 33, 46","59.988145409075152,30.3106289"
63,Автобус,Остановка,БЕЛОРУССКАЯ УЛ. ПО ХАСАНСКОЙ УЛ.,"БЕЛОРУССКАЯ УЛ. ПО ХАСАНСКОЙ УЛ. [15, 174]","Хасанская, Белорусская","15, 153, 169, 174, 24","59.935434098472797,30.4986706"
64,Автобус,Остановка,БЕСТУЖЕВСКАЯ УЛ. 32,"БЕСТУЖЕВСКАЯ УЛ. 32 [137, 106, 123, 136]","Бестужевская улица, Замшина улица","106, 123, 136, 137, 264, 271","59.982121891079771,30.4130497"
65,Автобус,Остановка,БЕСТУЖЕВСКАЯ УЛ. УГ. ЗАМШИНОЙ УЛ.,БЕСТУЖЕВСКАЯ УЛ. УГ. ЗАМШИНОЙ УЛ.,"Бестужевская ул., Замшина ул.","136, 137, 271","59.983061536379545,30.4085693"
66,Автобус,Остановка,БИОЛОГИЧЕСКИЙ ИНСТИТУТ,БИОЛОГИЧЕСКИЙ ИНСТИТУТ,Ораниенбаумское шоссе,"200, 348, 349","59.895992009733504,29.8439007"
67,Автобус,Остановка,"БКЗ ""ОКТЯБРЬСКИЙ""","БКЗ ""ОКТЯБРЬСКИЙ""","Лиговский пр., Ковенский пер.",74,"59.936895157151163,30.3646107"
68,Автобус,Остановка,БОБЫЛЬСКАЯ ДОРОГА,БОБЫЛЬСКАЯ ДОРОГА [351],"Улица Халтурина, Бобыльская дорога","349, 351А, 351Б, 353","59.882803384584712,29.8545418"
69,Автобус,Остановка,"БОГАТЫРСКИЙ ПР.,УГ. КОЛОМЯЖСКОГО ПР.","БОГАТЫРСКИЙ ПР.,УГ. КОЛОМЯЖСКОГО ПР. [93, 172]","Богатырский пр., Коломяжский пр.","122, 170, 172, 184, 235, 93","60.000619453591497,30.2967319"
70,Автобус,Остановка,"КОНСТАНТИНОВСКАЯ УЛ., НИКОЛАЕВСКАЯ БОЛЬНИЦА","КОНСТАНТИНОВСКАЯ УЛ., НИКОЛАЕВСКАЯ БОЛЬНИЦА","Санкт-Петербургский проспект, площадь Жертв Революции","103, 200, 204Э, 210, 343Э, 348, 359","59.878584249643275,29.9199829"
71,Автобус,Остановка,Б. МОНЕТНАЯ УЛ.,Б. МОНЕТНАЯ УЛ. [46А],"Каменноостровский проспект, Большая Монетная улица",46,"59.961566031887656,30.3158398"
72,Автобус,Остановка,БОЛЬШАЯ ПОРОХОВСКАЯ УЛ.,БОЛЬШАЯ ПОРОХОВСКАЯ УЛ. [123],"Энергетиков пр., Дегтярева ул.","123, 131, 137, 185, 271","59.952182797191455,30.4366322"
73,Автобус,Остановка,БОЛЬШАЯ ПОРОХОВСКАЯ УЛ.,"БОЛЬШАЯ ПОРОХОВСКАЯ УЛ. [132, 174]","Металлистов пр., Большая Пороховская ул.","132, 222","59.952825756657141,30.4216728"
74,Автобус,Остановка,БОЛЬШЕОХТИНСКОЕ КЛАДБИЩЕ,БОЛЬШЕОХТИНСКОЕ КЛАДБИЩЕ [15],"Большая Пороховская ул., Салтыковская дор.","15, 28, 290","59.95310961245233,30.4406681"
75,Автобус,Остановка,БОЛЬШОЙ ПР. П.С.,БОЛЬШОЙ ПР. П.С.,"Ленина ул., Большой пр. П.С.","1, 185","59.961907936327819,30.3048744"
